image_name,gsm,source,original_name,original_width,original_height,processed_width,processed_height,aspect_ratio,data_index,folder
fabricnet_0001.jpg,140,fabricnet,W001.jpg,640,480,512,512,1.3333333333333333,0.0,
fabricnet_0002.jpg,140,fabricnet,W002.jpg,640,480,512,512,1.3333333333333333,1.0,
fabricnet_0003.jpg,140,fabricnet,W003.jpg,640,480,512,512,1.3333333333333333,2.0,
fabricnet_0004.jpg,140,fabricnet,W004.jpg,640,480,512,512,1.3333333333333333,3.0,
fabricnet_0005.jpg,140,fabricnet,W005.jpg,640,480,512,512,1.3333333333333333,4.0,
fabricnet_0006.jpg,130,fabricnet,W006.jpg,640,480,512,512,1.3333333333333333,5.0,
fabricnet_0007.jpg,130,fabricnet,W007.jpg,640,480,512,512,1.3333333333333333,6.0,
fabricnet_0008.jpg,130,fabricnet,W008.jpg,640,480,512,512,1.3333333333333333,7.0,
fabricnet_0009.jpg,130,fabricnet,W009.jpg,640,480,512,512,1.3333333333333333,8.0,
fabricnet_0010.jpg,130,fabricnet,W010.jpg,640,480,512,512,1.3333333333333333,9.0,
fabricnet_0011.jpg,130,fabricnet,W011.jpg,640,480,512,512,1.3333333333333333,10.0,
fabricnet_0012.jpg,105,fabricnet,W012.jpg,640,480,512,512,1.3333333333333333,11.0,
fabricnet_0013.jpg,105,fabricnet,W013.jpg,640,480,512,512,1.3333333333333333,12.0,
fabricnet_0014.jpg,105,fabricnet,W014.jpg,640,480,512,512,1.3333333333333333,13.0,
fabricnet_0015.jpg,105,fabricnet,W015.jpg,640,480,512,512,1.3333333333333333,14.0,
fabricnet_0016.jpg,105,fabricnet,W016.jpg,640,480,512,512,1.3333333333333333,15.0,
fabricnet_0017.jpg,85,fabricnet,W017.jpg,640,480,512,512,1.3333333333333333,16.0,
fabricnet_0018.jpg,85,fabricnet,W018.jpg,640,480,512,512,1.3333333333333333,17.0,
fabricnet_0019.jpg,85,fabricnet,W019.jpg,640,480,512,512,1.3333333333333333,18.0,
fabricnet_0020.jpg,85,fabricnet,W020.jpg,640,480,512,512,1.3333333333333333,19.0,
fabricnet_0021.jpg,85,fabricnet,W021.jpg,640,480,512,512,1.3333333333333333,20.0,
